Summary,Legend,Protection,Sale,Place,Price,Seller,MSales,Comments
Coolpad/酷派 S116 天翼手机带QQ CU 全屏手写支持后台 正品行货,消费者保障,无七天退换,"月售2笔	2条评价",广东 深圳,161.50        运费：10.00           折扣,kbl657475,2,2
Samsung/三星 GT-E3210 时尚直板 JAVA 联通3G手机 音乐 全国联保,消费者保障,无七天退换,,北京,240.00        运费：12.00,天地通讯2,0,0
全国联保 视频泡水 三防对讲手机A83 GPS导航 户外手机 超长待机,"消费者保障	七天退换",七天退换,"月售15笔	75条评价",广东 深圳货到付款,891.10        运费：12.00           折扣,深圳数码电子广场,15,75
袖珍型手机 MINI 168 迷你手机 后台QQ 双卡双待MP3播放,消费者保障,无七天退换,"月售2笔	4条评价",广东 深圳,225.00        运费：10.00,李长文lichard,2,4
2012最新款200元半智能国产手机N9大屏直板外置电池男女士机批发,消费者保障,无七天退换,,山东 威海,199.00        运费：12.00,女为悦已者容01,0,0
z560e one s500W摄像头wifi 导航 x双模双待GSM/CDMA安卓智能手机,"消费者保障	七天退换",七天退换,月售2笔,广东 广州,889.11        运费：0.00           信用卡,峭壁商铺,2,0
电信天翼双模双待安卓智能手机I929 电容屏+WIFI+GPS汉泰 699,"消费者保障	七天退换",七天退换,"月售2笔	1条评价",广东 深圳货到付款,799.00        运费：15.00           信用卡,xmx20,2,1
2011新款法拉利F8滑盖跑车汽车手机模型双卡双待儿童卡通迷你手机,消费者保障,无七天退换,"月售1笔	1条评价",广东 深圳,230.00        运费：10.00           信用卡,爱315741760,1,1
商城正品 港利通A11 安卓智能4.0大屏手机 联保 另有港利通 A89,"消费者保障	七天退换	正品保障",七天退换,月售1笔,北京,1050.00        运费：0.00           信用卡,闽商数码专营店,1,0
Huawei/华为 T8600  移动3G td 智能手机 OMS2.5,"消费者保障	七天退换",七天退换,"月售2笔	1条评价",广东 深圳货到付款,520.06        运费：20.00           信用卡,yhhyllf,2,1
步步高 i6 青花瓷质感 翻盖音乐手机 原装正品 两原 包邮热卖中,消费者保障,无七天退换,"月售1笔	1条评价",广东 深圳,370.00        运费：0.00,xiaole102356,1,1
K-Touch/天语 S757 5.0寸大屏智能手机 安卓4.0系统 全国联保,"消费者保障	七天退换",七天退换,月售2笔,上海货到付款,1286.01        运费：0.00           信用卡,迪优美数码,2,0
特价诺卡E66 滑盖e66 台版半智能男士E66 国产手机手机零利润,消费者保障,无七天退换,"月售3笔	14条评价",广东 深圳,160.00        运费：12.00           信用卡,zsr20092009,3,14
飞利浦 9@9e 原装正品库存行货手机 老年人使用 超长待机购机送礼,"消费者保障	七天退换",七天退换,"月售2笔	15条评价",广东 深圳货到付款,200.00        运费：12.00           信用卡,青青通讯营,2,15
I9300 4.8英寸小卡单待电容屏MTK6575安卓4.0导航WIFI全智能手机,消费者保障,无七天退换,"月售1笔	1条评价",广东 深圳,1050.00        运费：25.00,hold168,1,1
泰星818Q+ 双模双待 电信移动双卡双待 CDMA电信双模手机,消费者保障,无七天退换,"月售11笔	7条评价",广东 深圳,199.00        运费：10.00           信用卡,海铭旺店,11,7
【双冠】Hisense/海信 E87  电信3G 安卓智能 CDMA手机 全新行货,消费者保障,无七天退换,"月售1笔	5条评价",上海,349.00        运费：6.00           信用卡,coco_wang1118,1,5
